OSMP MDR - ISO 20022 Message Definitions (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
Messages: 810,"Dictionary: 66,956 definitions","D:PACK: 1,170,864 bytes"
acmt.016.001.04,AccountExcludedMandateMaintenanceAmendmentRequestV04,"The AccountExcludedMandateMaintenanceAmendmentRequest message is sent from an organisation to a financial institution as part of the account maintenance process. It is sent in response to a request from the financial institution to send additional information. Usage: this update is about account details excluding any mandate information.  If modification codes are not used: the organisation will specify under the “Account” and “Organisation” tags the complete information as it should be in the financial institution’s records after processing the update request.  If modification codes are used (in that case, they must be used everywhere): the organisation will specify under the “Account” and “Organisation” tags which elements must be added, deleted, modified, or if they are unchanged."
acmt.017.001.04,AccountMandateMaintenanceRequestV04,"The AccountMandateMaintenanceRequest message is sent from an organisation to a financial institution as part of the account maintenance process. It is the initial request message to update one or several accounts. Usage: this update is only about mandate information.  If modification codes are not used: the organisation will specify under the “Mandate” and “Group” tags the complete information as it should be in the financial institution’s records after processing the update request.  If modification codes are used (in that case, they must be used everywhere): the organisation will specify under the “Mandate” and “Group” tags which elements must be added, deleted, modified, or if they are unchanged. It is not possible to update the account characteristics or organisation information with this message."
acmt.018.001.04,AccountMandateMaintenanceAmendmentRequestV04,"The AccountMandateMaintenanceAmendmentRequest message is sent from an organisation to a financial institution as part of the account maintenance process. It is sent in response to a request from the financial institution to send additional information. Usage: this update is only about mandate information.  If modification codes are not used: the organisation will specify under the “Mandate” and “Group” tags the complete information as it should be in the financial institution’s records after processing the update request.  If modification codes are used (in that case, they must be used everywhere): the organisation will specify under the “Mandate” and “Group” tags which elements must be added, deleted, modified, or if they are unchanged. It is not possible to update the account characteristics or organisation information with this message. "
acmt.019.001.04,AccountClosingRequestV04,The AccountClosingRequest message is sent from an organisation to a financial institution as part of the account closing process. It is the initial request message to close an account.
acmt.020.001.04,AccountClosingAmendmentRequestV04,The AccountClosingAmendmentRequest message is sent from an organisation to a financial institution as part of the account closing process. It is sent in response to a request from the financial institution to send additional information.
acmt.021.001.04,AccountClosingAdditionalInformationRequestV04,"The AccountClosingAdditionalInformationRequest message is sent from a financial institution to an organisation as part of the account closing process. This message is sent in response to a closing request message from the organisation, if the business content is valid, but additional information is required."
acmt.022.001.04,IdentificationModificationAdviceV04,"Scope The IdentificationModificationAdvice message is sent by an assigner to an assignee. The message is used to advice on the correct party and/or account identification information. Usage The IdentificationModificationAdvice message is sent after the receipt of one or several transaction messages that included no longer valid party and/or account identification information. The IdentificationModificationAdvice message is exchanged between financial institutions and between financial institutions and non financial institutions and can contain one or more modification advises. There is no time limit on the time between the sending of an IdentificationModificationAdvice message and the receipt of the transaction messages that the IdentificationModificationAdvice refers to. The IdentificationModificationAdvice includes the correct party and/or account identification information, the IdentificationModificationAdvice or the included information may be forwarded to the initiating party of the transaction messages."
acmt.023.001.04,IdentificationVerificationRequestV04,Scope The IdentificationVerificationRequest message is sent by an assigner to an assignee. It is used to request the verification of party and/or account identification information. Usage The IdentificationVerificationRequest message is sent before the sending of one or several transactions messages. The IdentificationVerificationRequest message can contain one or more verification requests.
acmt.024.001.04,IdentificationVerificationReportV04,Scope The IdentificationVerificationReport message is sent by an assigner to an assignee. It is used to confirm whether or not the presented party and/or account identification information is correct. Usage The IdentificationVerificationReport message is sent as a response to an IdentificationVerificationRequest message. The IdentificationVerificationReport message can contain one or more reports. The IdentificationVerificationReport message may include a reason if the presented party and/or account identification information is confirmed to be incorrect. The IdentificationVerificationReport message may include the correct party and/or account identification information.
acmt.027.001.05,AccountSwitchInformationRequestV05,The AccountSwitchInformationRequest message is sent by the new account servicer to the account servicer which previously held the account to initiate the account switch process. It provides information sufficient for the old account servicer to identify the old account and validate the account parties. The new account servicer is able to inform the old bank of the maximum funding the new account will provide to settle a negative closing balance and the proposed balance transfer window.
acmt.028.001.05,AccountSwitchInformationResponseV05,The AccountSwitchInformationResponse message is sent by the account servicer that previously held the account to the new account servicer to signal whether the account owner's account can be switched and to pass details of payment arrangements to be transferred to the new account servicer if the account may be switched. Confirmation of the balance transfer window is permitted by the old account servicer.
acmt.029.001.05,AccountSwitchCancelExistingPaymentV05,The AccountSwitchCancelExistingPayment message is sent by the new account servicer to the previous account servicer to identify which payment arrangements are to be cancelled on the account owner's account and when they are to be cancelled. This message is used during a partial switch of the account and may be sent multiple times to allow for the account parties to transfer different payment arrangements at different times during the switch. 
acmt.030.001.04,AccountSwitchRequestRedirectionV04,"The AccountSwitchRequestRedirection message is sent by the new account servicer to a central account switch servicer to set up the redirection of payment and collection transactions that are processed after completion of the account switch.  It is routed to the previous account servicer to signal that it should schedule the cancellation of all payment arrangements on the old account. This message may also be used by the new bank to amend the new account details, if the details previously provided were incorrect."
acmt.031.001.05,AccountSwitchRequestBalanceTransferV05,The AccountSwitchRequestBalanceTransfer message is sent by the new account servicer to the account servicer which previously held the account to request the transfer of the closing balance. This may be addressed to the new account or an alternate account nominated by the new account servicer. 
acmt.032.001.05,AccountSwitchBalanceTransferAcknowledgementV05,"The AccountSwitchBalanceTransferAcknowledgement message is sent by the previous account servicer to the new account servicer in response to the AccountSwitchRequestBalanceTransfer message. It confirms the status of the old account and the balance of the account on closure. In the case of a negative closing balance, the old account servicer provides details of the nominated account to which payment should be made from the new account servicer."
acmt.033.001.02,AccountSwitchNotifyAccountSwitchCompleteV02,The AccountSwitchNotifyAccountSwitchComplete message is sent by the new account servicer to a central account switch servicer to signal that it has completed the account switch. 
acmt.034.001.05,AccountSwitchRequestPaymentV05,The AccountSwitchRequestPayment message is sent by the old account servicer to the new account servicer after the completion of the account switch to request the transfer of funds for a payment that the previous account servicer has had to make from the old account (for example: the settlement of a card transaction that was authorised offline).
acmt.035.001.02,AccountSwitchPaymentResponseV02,The AccountSwitchPaymentResponse message is sent by the new account servicer to the old account servicer to confirm whether it will make the requested payment in a request payment message. The AccountSwitchPaymentResponse message is only used to respond to a AccountSwitchRequestPayment message.
acmt.036.001.01,AccountSwitchTerminationSwitchV01,The AccountSwitchTerminationSwitch message is sent by the new account servicer to the account switch servicer to signal that the account switch must be stopped. The AccountSwitchTerminationSwitch message is only used in exception after the new account servicer has received an AccountSwitchInformationResponse message.
acmt.037.001.02,AccountSwitchTechnicalRejectionV02,The AccountSwitchTechnicalRejection message is sent by the account switch servicer to the new account servicer when it has not been able to validate a previously sent message.
admi.002.001.01,MessageRejectV01,Scope The MessageReject message is sent by a central system to notify the rejection of a previously received message. Usage The message provides specific information about the rejection reason.
admi.004.001.02,SystemEventNotificationV02,"Scope The SystemEventNotification message is sent by a central system to notify the occurrence of an event in a central system. Usage The message can be used by a central settlement system to inform its participants of an event that is going to occur in the system, for instance that the system will be down at a certain time, etc."
admi.005.001.02,ReportQueryRequestV02,The ReportQueryRequest message is exchanged between system member and system transaction administrator. It aims at querying the latest available report data of a specific report type. A report is stored and available for query until the event occurs again report is replaced.
admi.006.001.01,ResendRequestV01,"A system member or any parties authorised by them send a ResendRequest message to the Central System (such as the T2S platform). The purpose of this request is, that the requesting party wants to receive the “original” message once again. This might be caused through technical problems on the receiving side (message could not be received or processed or is missing in the message sequencing) or for archiving purposes."
admi.007.001.01,ReceiptAcknowledgementV01,"The ReceiptAcknowledgement message is sent by the transaction administrator to a member of the system and vice versa. It is sent to acknowledge the receipt of one or multiple messages sent previously. The Acknowledgement message is 1) an application receipt acknowledgement and 2) conveys information about the processing of the original message(s). In case of 2) the ReceiptAcknowledgement can be used as a Generic error message, which provides information about the status (e.g. rejection, acceptance) of an instruction."
admi.009.001.02,StaticDataRequestV02,The StaticDataRequest message is sent by a participant of a central system to the central system to request a static data report. 
admi.010.001.02,StaticDataReportV02,The StaticDataReport message is sent by a central system to the participant to provide static data held in the system. 
admi.011.001.01,SystemEventAcknowledgementV01,The SystemEventAcknowledgement message is sent by a participant of a central system to the central system to acknowledge the notification of an occurrence of an event in a central system. 
admi.017.001.02,ProcessingRequestV02,The Processing Request message is sent by a participant to a central system to request the initiation of a system process supported by a central system.
admi.024.001.01,NotificationOfCorrespondenceV01,Scope The NotificationOfCorrespondence message is sent by the sender to the receiver to notify them of an event or information that impacts both parties.  Usage The NotificationOfCorrespondence message must only be used to communicate events or information where the sender expects no response from the receiver. 
auth.001.001.02,InformationRequestOpeningV02,"This message is sent by the authorities (police, customs, tax authorities, enforcement authorities) to a financial institution to request account and other banking and financial information. Requested information can relate to accounts, their signatories and beneficiaries and co-owners as well as movements plus positions on these accounts.  Requests are underpinned by specific legal texts."
auth.002.001.02,InformationRequestResponseV02,"This message is sent by the financial institution to the authorities (police, customs, tax authorities, enforcement authorities) to provide a part or all of the requested information. The financial institution previously received a request for financial information in the scope of a financial investigation.  Depending on whether the response can be provided STP within the authorities financial investigations messages, the requested information may be  •&#x9;provided in part or in full within the response message itself, or  •&#x9;only referred to in the response message."
auth.003.001.01,InformationRequestStatusChangeNotificationV01,"This message is sent by the authorities (police, customs, tax authorities, enforcement authorities) to a financial institution to inform the financial institution that the confidentiality status of the investigation has changed."
auth.008.001.02,RegulatoryTransactionReportV02,"Scope A reporting institution, eg, an investment bank, sends the RegulatoryTransactionReport to a regulator or an intermediary (eg a reporting agent), to report the transaction details of a trade that has been executed on or off-exchange. Usage The message definition can be used to report more than one transaction. The message definition can also be used to specify, on a trade by trade basis, to which authorities the transaction report(s) need to be sent using the TransactionReportMarker."
auth.009.001.02,RegulatoryTransactionReportCancellationRequestV02,"Scope A reporting institution, eg, an investment bank, sends the RegulatoryTransactionReportCancellationRequest to a regulator or to an intermediary (eg a reporting agent), to request a cancellation of a previously sent RegulatoryTransactionReport. Usage The message definition can be used to cancel an entire RegulatoryTransactionReport or to cancel one or more individual transactions in a previously sent RegulatoryTransactionReport."
auth.010.001.01,RegulatoryTransactionReportStatusV01,"Scope A regulator or an intermediary sends the RegulatoryTransactionReportStatus to a reporting institution to provide the status of a RegulatoryTransactionReport previously sent by the reporting institution. Usage The message definition may be used to provide a status for the entire report or to provide a status at the level of individual transactions within the report. One of the following statuses can be reported: - Completed, or, - Pending, or, - Rejected. If the status is rejected, then reason for the rejection must be specified."
auth.011.001.01,RegulatoryTransactionReportCancellationStatusV01,"Scope A regulator or an intermediary sends the RegulatoryTransactionReportCancellationStatus to a reporting institution to provide the status of a RegulatoryTransactionReportCancellationRequest previously sent by the reporting institution. Usage The message definition may be used to provide a status for the entire report or to provide a status at the level of individual transactions within the report. One of the following statuses can be reported: - Completed, or, - Pending, or, - Rejected. If the status is rejected, then reason for the rejection must be specified."
auth.012.001.02,MoneyMarketSecuredMarketStatisticalReportV02,"The MoneyMarketSecuredMarketStatisticalReport message is sent by the reporting agents to the relevant competent authority, to report all relevant secured money market transactions."
auth.013.001.02,MoneyMarketUnsecuredMarketStatisticalReportV02,"The MoneyMarketUnsecuredMarketStatisticalReport message is sent by the reporting agents to the relevant competent authority, to report all relevant unsecured money market transactions."
auth.014.001.02,MoneyMarketForeignExchangeSwapsStatisticalReportV02,"The MoneyMarketSecuredMarketStatisticalReport message is sent by the reporting agents to the relevant competent authority, to report all daily Foreign Exchange Swaps (FX Swaps) transactions."
auth.015.001.02,MoneyMarketOvernightIndexSwapsStatisticalReportV02,"The MoneyMarketOvernightIndexSwapsStatisticalReport message is sent by the reporting agents to the relevant competent authority, to report the daily overnight index swaps (OIS) transactions."
auth.016.001.03,FinancialInstrumentReportingTransactionReportV03,The FinancialInstrumentReportingTransactionReport message is sent by the reporting agent to the competent authority to report on the securities transactions or by the competent authority to another competent authority when the transaction needs to be exchanged between the competent authorities.
auth.017.001.02,FinancialInstrumentReportingReferenceDataReportV02,This FinancialInstrumentReportingReferenceDataReport message is sent by the trading venue to the national competent authority to report on the reference data used in the securities transactions.
auth.018.001.04,ContractRegistrationRequestV04,The ContractRegistrationRequest message is sent by the reporting party to the registration agent to initiate the registration of a new contract subject to currency control.
auth.019.001.04,ContractRegistrationConfirmationV04,The ContractRegistrationConfirmation message is sent by the registration agent to the reporting party to register the contract subject to currency control.
auth.020.001.04,ContractRegistrationClosureRequestV04,The ContractRegistrationClosureRequest message is sent by the reporting party to the registration agent to close the registered contract subject to currency control.
auth.021.001.04,ContractRegistrationAmendmentRequestV04,The ContractRegistrationAmendmentRequest message is sent by the reporting party to the registration agent to amend the registered contract subject to currency control.
auth.022.001.04,ContractRegistrationStatementV04,"The ContractRegistrationStatement message is sent by the registration agent to the reporting party, in response to a request or at a pre-agreed date, to send a statement of the operations related to the registered contract subject to currency control."
auth.023.001.04,ContractRegistrationStatementRequestV04,The ContractRegistrationStatementRequest message is sent by the reporting party to the registration agent to request for a statement of the operations related to the registered contract subject to currency control.
auth.024.001.04,PaymentRegulatoryInformationNotificationV04,"The PaymentRegulatoryInformationNotification message is sent by the reporting party to the registration agent to provide details on the transaction, when a payment has to be recorded against the registered currency control contract.   In some cases, the registration agent may also sent this message to the reporting party."
auth.025.001.04,CurrencyControlSupportingDocumentDeliveryV04,The CurrencyControlSupportingDocumentDelivery message is sent by either the reporting party (respectively the registration agent) or the registration agent (respectively the reporting party) in response to the supporting document request.
auth.026.001.04,CurrencyControlRequestOrLetterV04,The CurrencyControlRequestOrLetter message is sent by the reporting party (respectively the registration agent) to the registration agent (respectively the reporting party) to send a currency control related letter or to request for supporting documents.
auth.027.001.04,CurrencyControlStatusAdviceV04,"The CurrencyControlStatusAdvice message is sent by either the reporting party (respectively the registration agent) or the registration agent (respectively the reporting party) to provide a status advice on a previously sent currency control message.  Usage:  The message may be sent in response to requests on the registration of the currency control contract, supporting document or on the payment regulatory information notification."
auth.028.001.01,MoneyMarketStatisticalReportStatusAdviceV01,The MoneyMarketStatisticalReportStatusAdvice message is sent by the relevant competent authority to the reporting agents to provide the status on the reported transactions.
auth.029.001.05,DerivativesTradeReportQueryV05,"The DerivativesTradeReportQuery message is sent by the supervisory authority system to the trade repositories, to query data based on the search criteria for the trade transaction as defined by the system user."
auth.030.001.04,DerivativesTradeReportV04,"The DerivativesTradeReport message is sent by the report submitting entity to the trade repository (TR) to report on the derivative transactions or sent by the trade repository (TR) to the authority or made available by the trade repository (TR) to the report submitting entity and the reporting counterparty as well as the entity responsible for reporting, if applicable."
auth.031.001.01,FinancialInstrumentReportingStatusAdviceV01,"The FinancialInstrumentReportingStatusAdvice message is sent by the national competent authority to the reporting agent to provide a status advice for the correctness, issues or errors that arise from the submitted report."
auth.032.001.01,FinancialInstrumentReportingEquityTransparencyDataReportV01,The FinancialInstrumentReportingEquityTransparencyDataReport message is sent by the trading venues to the national competent authority to report on the transparency data for equity financial instruments.
auth.033.001.03,FinancialInstrumentReportingNonEquityTransparencyDataReportV03,The FinancialInstrumentReportingNonEquityTransparencyDataReport message is sent by the trading venue to the national competent authority to submit non equity specific details as part of classifying and applying necessary transparency non equity computations.
auth.034.001.01,InvoiceTaxReportV01,The InvoiceTaxReport message is sent by tax responsible to tax authority. Tax authorities require corporates to report their sales based value added tax (VAT). This message is targeted to this reporting based on information in sales invoices and card transactions.
auth.035.001.01,FinancialInstrumentReportingTradingVolumeCapDataReportV01,The FinancialInstrumentReportingTradingVolumeCapDataReport message is sent by the trading venue to the national competent authority to report the total volume of trading and volumes of trading under reference price waiver and negotiated transactions waiver.
auth.036.001.03,FinancialInstrumentReportingReferenceDataDeltaReportV03,The FinancialInstrumentReportingReferenceDataDeltaReport message is sent by the trading venues to the national competent authority to report on changes that have occurred in the base data between reference data file generation.
auth.038.001.01,InvoiceTaxReportStatusAdviceV01,The InvoiceTaxReportStatusAdvice message is sent by the matching application to the party from which it received a message. This message is used to acknowledge the InvoiceTaxReport message.
auth.039.001.01,FinancialInstrumentReportingNonWorkingDayReportV01,The FinancialInstrumentReportingNonWorkingDayReport message is sent by the reporting entity to the competent authority to report on non-working days.
auth.040.001.01,FinancialInstrumentReportingEquityTradingActivityReportV01,"The FinancialInstrumentReportingEquityTradingActivityReport message is sent by the trading venue to the national competent authority to report on equity specific trading activity data, used for the transparency calculations."
auth.041.001.01,FinancialInstrumentReportingNonEquityTradingActivityReportV01,"The FinancialInstrumentReportingNonEquityTradingActivityReport message is sent by the trading venue to the national competent authority to report on non-equity specific trading activity aggregated quantitative data, used for the transparency calculations."
auth.042.001.02,FinancialInstrumentReportingInvalidReferenceDataReportV02,The FinancialInstrumentReportingInvalidReferenceDataReport message is sent by the trading venue to the national competent authority to report on all records that have become invalid based on updates that have been received or that have passed the termination date original set for the instrument.
auth.043.001.01,FinancialInstrumentReportingReferenceDataIndexReportV01,This FinancialInstrumentReportingReferenceDataIndexReport message is sent by National Competent Authorities to express an interest in receiving data on European indices.
auth.044.001.02,FinancialInstrumentReportingEquityTradingActivityResultV02,The FinancialInstrumentReportingEquityTradingActivityResult message is sent by a national competent authority to report on computed results data of equity specific trading activity.
auth.045.001.03,FinancialInstrumentReportingNonEquityTradingActivityResultV03,The FinancialInstrumentReportingNonEquityTradingActivityResult message is sent by the trading venue to the national competent authority to report on computed results data of non-equity specific trading activity.
auth.047.001.01,FinancialInstrumentReportingCountryCodeReportV01,The FinancialInstrumentReportingCountryCodeReport message provides the details of the two character country codes and is created by ESMA for distribution to national competent authorities.
auth.048.001.01,FinancialInstrumentReportingCurrencyCodeReportV01,The MiFIRCurrencyCodeReport message provides the details the ISO 4217 currency codes and is created by ESMA for distribution to National Competent Authorities.
auth.049.001.02,FinancialInstrumentReportingMarketIdentificationCodeReportV02,The FinancialInstrumentReportingMarket IdentificationCodeReport provides the valid market identification code (MIC) of venues that are valid and registered to operate as a trading venue. This message is generated by ESMA for distribution to national competent authorities.
auth.050.001.01,FinancialInstrumentReportingInstrumentClassificationReportV01,The FinancialInstrumentReportingInstrumentClassificationReport message is sent by ESMA to all national competent authorities and provides all valid combinations for classification of financial instruments (CFI) as per ISO 10962.
auth.052.001.02,SecuritiesFinancingReportingTransactionReportV02,"The SecuritiesFinancingReportingTransactionReport message is sent by the report submitting entity to the trade repository (TR) to report on the securities financing transactions or sent by the trade repository (TR) to the authority or made available by the trade repository (TR) to the  report submitting entity and the reporting counterparty as well as the entity responsible for reporting, if applicable."
auth.053.001.01,FinancialInstrumentReportingTradingVolumeCapResultReportV01,The FinancialInstrumentReportingTradingVolumeCapResultReport provides volume of trading and percentage of trading under waivers for equity instruments over a period. This message is generated by the supervisory authority for public distribution.
auth.054.001.01,CCPClearingMemberReportV01,"The CCPClearingMemberReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the central counterparties clearing members and their clients, and the related account structures."
auth.055.001.01,CCPMemberRequirementsReportV01,The CCPMemberRequirementsReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the collateral requirements that a central counterparty obligates a clearing member post at the central counterparty.
auth.056.001.01,CCPMemberObligationsReportV01,The CCPInvestmentsReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about how the central counterparty invests the cash balances deposited with it as collateral by its clearing members. Details the source and size of the liquidity requirements CCPs are placing on clearing members as a result of their membership of the CCP.
auth.057.001.02,CCPPortfolioStressTestingDefinitionReportV02,The CCPPortfolioStressTestingDefinitionReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about how the central counterparty defines stress scenarios used to stress clearing member portfolios.
auth.058.001.01,CCPPortfolioStressTestingResultReportV01,The CCPPortfolioStressTestingResultReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the results of the stress testing carried out by the central counterparty on clearing member positions.
auth.059.001.02,CCPIncomeStatementAndCapitalAdequacyReportV02,The CCPIncomeStatementAndCapitalAdequacyReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the financial performance and regulatory capital holdings of the central counterparty.  V02 adds a clearing member id to break down the ClrFees by the clearing member from whom the fee income is being received. The change is motivated by a supervisory need to understand from which jurisdictions clearing fees are paid to the CCP.
auth.060.001.02,CCPDailyCashFlowsReportV02,The CCPDailyCashFlowsReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority of the operational performance and exposures that occurred in a central counterparty payment system. 
auth.061.001.02,CCPInvestmentsReportV02,The CCPInvestmentsReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about how the central counterparty invests the cash balances deposited with it as collateral by its clearing members.
auth.062.001.01,CCPLiquidityStressTestingDefinitionReportV01,The CCPLiquidityStressTestingDefinitionReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about how the central counterparty defines liquidity stress scenarios used to stress the liquidity resources and requirements of the CCP.
auth.063.001.01,CCPLiquidityStressTestingResultReportV01,The CCPLiquidityStressTestingResultReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the results of the liquidity stress tests.
auth.064.001.02,CCPAvailableFinancialResourcesReportV02,The CCPAvailableFinancialResourcesReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority of the aggregate quantum of resources available in each default waterfall to absorb losses resulting from the failure of one or more clearing member(s).  V02 amends the reporting asset types to be consistent across the scope of CCP Supervisory Reporting data collection.
auth.065.001.01,CCPBackTestingDefinitionReportV01,The CCPBackTestingDefinitionReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority of the methodology used to carry out backtesting.
auth.066.001.01,CCPBackTestingResultReportV01,The CCPBackTestingResultReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority of the results of the back test carried out by the central counterparty.
auth.067.001.01,CCPCollateralReportV01,The CCPCollateralReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the collateral posted by clearing members at the central counterparty.
auth.068.001.01,CCPAccountPositionReportV01,The CCPAccountPositionReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority of the positions of the clearing members of the central counterparty.
auth.069.001.02,CCPClearedProductReportV02,"The CCPClearedProductReport message is sent from the central counterparty to the national competent authority. It is used to inform the national competent authority about the financial instruments cleared by the central counterparty.  V02 adds cleared gross notional amount, defined as the gross notional amount that was cleared for that product on the report date."
auth.070.001.02,SecuritiesFinancingReportingTransactionMarginDataReportV02,"The SecuritiesFinancingReportingTransactionMarginDataReport message is sent by the report submitting entity to the trade repository (TR) to report the margins exchanged in relation to the CCP-cleared securities financing transactions or sent by the trade repository (TR) to the authority or made available by the trade repository (TR) to the report submitting entity and the reporting counterparty as well as the entity responsible for reporting, if applicable."
