OSMP MDR - ISO 20022 Data Dictionary (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
"Unique definitions: 66,956","Raw: 9,131,908 bytes","D:PACK: 1,170,864 bytes"
AMLIndicator,Indicates the status of an anti-money laundering investigation.,1
AMLValidation,Error on AML (Anti Money Laundering) validation.,1
ANSI0,ANSI 0 PIN block format.,1
ARPC,Response Card Cryptogram (ARPC) verification.,1
ARPCVerification,Response Card Cryptogram (ARPC)  verification.,1
ARQC,"Verification of a cryptogram generated by a chip card, for instance an ARQC (Authorisation Request Cryptogram).",1
ARQCVerification,"Verification of a cryptogram generated by a chip card, for instance an ARQC (Authorisation Request Cryptogram).",1
ASCII,ASCII Format.,1
ATC,Application Transaction Counter,1
ATC,Application Transaction Counter.,1
ATM,ATM information.,35
ATM,Authentication provided through ATM,1
ATM,Automated Teller Machine,1
ATM,Card Settlement-Settlement of ATM transactions.,1
ATM Card Transaction,"Messages that support any card related Automated Teller Machine (ATM) transactions and services between an ATM equipment and an ATM acquirer. These services include cash withdrawals, kiosk functions and card account management transactions.",1
ATM Interface for Transaction Processing and ATM Management - ISO - Latest version,"Messages that support any card related Automated Teller Machine (ATM) transactions, card related terminal management services and services between an ATM equipment and an ATM acquirer. These services include cash withdrawals, kiosk functions and card account management transactions. It includes the new candidate versions of the MessageDefinitions that have been impacted by the unscheduled maintenance (CR #0533) and were approved by the Cards Standards Evaluation Group as ISO 20022 MessageDefinitions on 6 April 2016.",1
ATM Interface for Transaction Processing and ATM Management - ISO - Previous version,"Messages that support any card related Automated Teller Machine (ATM) transactions, card related terminal management services and services between an ATM equipment and an ATM acquirer. These services include cash withdrawals, kiosk functions and card account management transactions.",1
ATM Interface for Transaction Processing and ATM Management - ISO Archive,"This message set provides for the archived versions of the message definitions supporting the card related Automated Teller Machine (ATM) transactions, card related terminal management services and services between an ATM equipment and an ATM acquirer.",1
ATM Management,Messages that support card related terminal management services between an Automated Teller Machine (ATM) and an Acquirer.,1
ATMAccessFee,Fee for giving access to an ATM.,1
ATMAccountStatement1,Statement information of an account.,1
ATMAccountStatement2,Statement information of an account.,1
ATMAccountStatement3,Statement information of an account.,1
ATMAccountUsage1Code,Type of usage for an account.,1
ATMAccountUsageCode,Type of usage for an account.,1
ATMActionType1Code,Type of action that could be run on a configuration.,1
ATMActionTypeCode,Type of action that could be run on a configuration.,1
ATMBalance,Provide the ATM counters resettting those that are applicable.,1
ATMBalance,"Provide the ATM counters, resetting those that are applicable.",1
ATMBalance,"Total balance of the ATM including reject cassette, but excluding the retract cassette.",3
ATMBalanceNumber,"Total number of units for non-valued media, including reject cassette.",3
ATMCassette1,Information on the cassette of an ATM.,1
ATMCassette2,Information on the cassette of an ATM.,1
ATMCassette3,Information on the cassette of an ATM.,1
ATMCassetteCounters1,ATM cassette counter per unit value or globally.,1
ATMCassetteCounters2,Counters of media inside an ATM cassette.,1
ATMCassetteCounters3,ATM cassette counter per unit value or globally.,1
ATMCassetteCounters4,Counters of media inside an ATM cassette.,1
ATMCassetteCounters5,Counters of media inside an ATM cassette.,1
ATMCassetteCounters6,ATM cassette counter per unit value or globally.,1
ATMCassetteStatus1Code,Status of a cassette in an ATM.,1
ATMCassetteStatusCode,Status of a cassette in an ATM.,1
ATMCassetteType1Code,Type of cassette.,1
ATMCassetteTypeCode,Type of cassette.,1
ATMChallenge,Random value from the ATM provided during a previous exchange.,4
ATMChallenge,Random value from the ATM to avoid message replay.,2
ATMCommand1,Maintenance command to perform on an ATM.,1
ATMCommand10,Maintenance command the ATM must perform.,1
ATMCommand11,Result of a maintenance command performed by the ATM.,1
ATMCommand12,Maintenance command which has requested the device report.,1
ATMCommand13,Maintenance command to perform on an ATM.,1
ATMCommand14,Maintenance command the ATM must perform.,1
ATMCommand15,Result of a maintenance command performed by the ATM.,1
ATMCommand16,Maintenance command which has requested the device report.,1
ATMCommand17,Maintenance command to perform on an ATM.,1
ATMCommand1Code,Type of command to be performed by an ATM.,1
ATMCommand2,Result of a maintenance command performed by the ATM.,1
ATMCommand2Code,Type of command performed by the ATM.,1
ATMCommand3,Maintenance command which has requested the device report.,1
ATMCommand3Code,Type of command performed by the ATM.,1
ATMCommand4,Maintenance command the ATM must perform.,1
ATMCommand4Code,Type of command to be performed by an ATM.,1
ATMCommand5,Command result for reinitialization of the transaction counters.,1
ATMCommand5Code,Type of command performed by the ATM.,1
ATMCommand6,Party which has requested the reconciliation.,1
ATMCommand6Code,Type of command performed by the ATM.,1
ATMCommand7,Maintenance command to perform on an ATM.,1
ATMCommand7Code,Type of command performed by the ATM.,1
ATMCommand8,Command result for reinitialization of the transaction counters.,1
ATMCommand9,Party which has requested the reconciliation.,1
ATMCommandCode,Type of command performed by an ATM.,1
ATMCommandIdentification1,Identification of the entity issuing the command.,1
ATMCommandParameters1,Parameters to be used to update the configuration or the status security device.,1
ATMCommandParameters1Choice,Specific parameters attached to an ATM command.,1
ATMCommandParameters2Choice,Specific parameters attached to an ATM command.,1
ATMCommandParameters3Choice,Specific parameters attached to an ATM command.,1
ATMCommandReason1Code,Reason for sending the command.,1
ATMCommandReasonCode,Reason for sending or requesting a maintenance command.,1
ATMCommissionFee,"Commission that the issuer will charge to the cardholder, which should be shown and accepted by the cardholder before the money is disbursed.",1
ATMCompletionAcknowledgement,Acknowledgement of a completion advice.,1
ATMCompletionAcknowledgement,Information related to the acknowledgement of an ATM completion on the ATM. manager.,3
ATMCompletionAcknowledgement1,Information related to the acknowledgement of an ATM completion from the ATM manager.,1
ATMCompletionAcknowledgement2,Information related to the acknowledgement of an ATM completion from the ATM manager.,1
ATMCompletionAcknowledgement3,Information related to the acknowledgement of an ATM completion from the ATM manager.,1
ATMCompletionAcknowledgementV01,The ATMCompletionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMCompletionAdvice message.,1
ATMCompletionAcknowledgementV02,The ATMCompletionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMCompletionAdvice message.,1
ATMCompletionAcknowledgementV03,The ATMCompletionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMCompletionAdvice message.,1
ATMCompletionAdvice,Advice of an ATM transaction completion.,1
ATMCompletionAdvice,Information related to the completion of an operation on the ATM.,3
ATMCompletionAdvice1,Information related to the completion of an operation on the ATM.,1
ATMCompletionAdvice2,Information related to the completion of an operation on the ATM.,1
ATMCompletionAdvice3,Information related to the completion of an operation on the ATM.,1
ATMCompletionAdviceV01,The ATMCompletionAdvice message is sent by an ATM to an acquirer or its agent to inform of the result of a transaction performed on the ATM.,1
ATMCompletionAdviceV02,The ATMCompletionAdvice message is sent by an ATM to an acquirer or its agent to inform of the result of a transaction performed on the ATM.,1
ATMCompletionAdviceV03,The ATMCompletionAdvice message is sent by an ATM to an acquirer or its agent to inform of the result of a transaction performed on the ATM.,1
ATMConfiguration,Configuration parameters of the ATM.,1
ATMConfigurationControl,Information related to the control of a configuration on ATM device.,1
ATMConfigurationControlComponent1,Information related to the control of a configuration on ATM device.,1
ATMConfigurationControlV01,Information related to the protocol management on a segment of the path from the ATM to the acquirer.,1
ATMConfigurationParameter1,Configuration parameter version of the ATM.,1
ATMConfigurationParameter2,Parameters to be used by the various cryptographic key commands.,1
ATMConfigurationReport,Information related to a configuration report of an ATM device.,1
ATMConfigurationReportComponent1,Information related to a configuration report of an ATM device.,1
ATMConfigurationReportV01,The ATMConfigurationReport is sent by an ATM to a maintenance host to report the version of the configuration which is active.,1
ATMContext1,Context in which the transaction is performed.,1
ATMContext10,Context in which the transaction is performed.,1
ATMContext11,Context in which the transaction is performed.,1
ATMContext12,Context in which the transaction is performed.,1
ATMContext13,Context in which the transaction is performed.,1
ATMContext14,Context in which the inquiry is performed.,1
ATMContext15,Context in which the inquiry is performed.,1
ATMContext16,Context in which the transaction is performed.,1
ATMContext17,Context in which the transaction is performed.,1
ATMContext18,Context in which the transfer is performed.,1
ATMContext19,Context in which the transfer is performed.,1
ATMContext2,Context in which the transaction is performed.,1
ATMContext20,Context of the exception.,1
ATMContext25,Context of the exception.,1
ATMContext26,Context in which the inquiry is performed.,1
ATMContext27,Context in which the inquiry is performed.,1
ATMContext3,Context in which the transaction is performed.,1
ATMContext4,Context in which the transaction is performed.,1
ATMContext5,Context in which the inquiry is performed.,1
ATMContext6,Context in which the inquiry is performed.,1
ATMContext7,Context in which the transaction is performed.,1
ATMContext8,Context in which the transaction is performed.,1
ATMContext9,Context in which the transaction is performed.,1
ATMControl,Global ATM commands.,1
ATMCounterType1Code,Type of ATM cassette counters.,1
ATMCounterType2Code,Type of ATM cassette counters.,1
ATMCounterType3Code,Type of ATM cassette counters.,1
ATMCounterTypeCode,Type of ATM cassette counters.,1
ATMCounterTypeV2Code,Type of ATM cassette counters.,1
ATMCurrent,Available amount for dispense in the ATM.,3
ATMCurrentNumber,"Total number of units for non-valued media, excluding reject cassette.",3
ATMCustomer1,Customer involved in a withdrawal transaction.,1
ATMCustomer2,Customer involved in a withdrawal transaction.,1
ATMCustomer3,Customer involved in a withdrawal transaction.,1
ATMCustomer4,Customer involved in a withdrawal transaction.,1
ATMCustomer5,Customer involved in a transaction.,1
ATMCustomer6,Customer involved in a withdrawal transaction.,1
ATMCustomer7,Customer involved in a withdrawal transaction.,1
ATMCustomer8,Customer involved in a withdrawal transaction.,1
ATMCustomer9,Customer involved in a transaction.,1
ATMCustomerProfile1,Profile of the customer selected by an ATM.,1
ATMCustomerProfile1Code,Describes the main way customer information was collected to build up the customer menu and the withdrawal request.,1
ATMCustomerProfile2,Profile of the customer selected by an ATM.,1
ATMCustomerProfile3,Profile of the customer with the allowed services and restrictions.,1
ATMCustomerProfile4,Profile of the customer selected by an ATM.,1
ATMCustomerProfile5,Profile of the customer with the allowed services and restrictions.,1
ATMCustomerProfile6,Profile of the customer selected by an ATM.,1
ATMCustomerProfile7,Profile of the customer with the allowed services and restrictions.,1
ATMCustomerProfileCode,Describes the main way customer information was collected to build up the customer menu and the withdrawal request.,1
ATMDepositCompletionAcknowledgement,Acknowledgement of a deposit completion advice.,1
ATMDepositCompletionAcknowledgement,Information related to the acknowledgement of an ATM deposit transaction from the ATM manager.,2
ATMDepositCompletionAcknowledgement1,Information related to the acknowledgement of an ATM deposit transaction from the ATM manager.,1
ATMDepositCompletionAcknowledgement2,Information related to the acknowledgement of an ATM deposit transaction from the ATM manager.,1
ATMDepositCompletionAcknowledgementV01,The ATMDepositCompletionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMDepositCompletionAdvice message.,1
ATMDepositCompletionAcknowledgementV02,The ATMDepositCompletionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMDepositCompletionAdvice message.,1
ATMDepositCompletionAdvice,Advice of an ATM deposit transaction completion.,1
ATMDepositCompletionAdvice,Information related to the completion of a deposit transaction on the ATM.,2
ATMDepositCompletionAdvice1,Information related to the completion of a deposit transaction on the ATM.,1
ATMDepositCompletionAdvice2,Information related to the completion of a deposit transaction on the ATM.,1
ATMDepositCompletionAdviceV01,"The ATMDepositCompletionAdvice message is sent by an ATM to an acquirer or its agent to inform of the result of a deposit transaction at an ATM. If the ATM is configured to only send negative completion, a generic completion message should be used instead of ATMCompletionAdvice. This message can be used each time a bundle is put in the ATM safe and/or at the end of a multi bundle deposit.",1
ATMDepositCompletionAdviceV02,"The ATMDepositCompletionAdvice message is sent by an ATM to an acquirer or its agent to inform of the result of a deposit transaction at an ATM. If the ATM is configured to only send negative completion, a generic completion message should be used instead of ATMCompletionAdvice. This message can be used each time a bundle is put in the ATM safe and/or at the end of a multi bundle deposit.",1
ATMDepositComponent1,Information related to a deposit transaction.,1
ATMDepositRequest,Information related to the request of a deposit transaction from an ATM.,2
ATMDepositRequest,Request for a deposit.,1
ATMDepositRequest1,Information related to the request of a deposit transaction from an ATM.,1
ATMDepositRequest2,Information related to the request of a deposit transaction from an ATM.,1
ATMDepositRequestV01,"The ATMDepositRequest message is sent by an ATM to an acquirer or its agent to request the approval of a deposit transaction at an ATM, before or after deposit media inside the ATM.",1
ATMDepositRequestV02,"The ATMDepositRequest message is sent by an ATM to an acquirer or its agent to request the approval of a deposit transaction at an ATM, before or after deposit media inside the ATM.",1
ATMDepositResponse,Response to a deposit request.,3
ATMDepositResponse1,Response to a deposit request.,1
ATMDepositResponse2,Response to a deposit request.,1
ATMDepositResponseV01,The ATMDepositResponse message is sent by an ATM manager or its agent to inform the ATM of the approval or decline of the deposit transaction.,1
ATMDepositResponseV02,The ATMDepositResponse message is sent by an ATM manager or its agent to inform the ATM of the approval or decline of the deposit transaction.,1
ATMDepositedMedia1,Deposited media put in the safe.,1
ATMDepositedMedia2,Media item that are deposited.,1
ATMDepositedMedia3,Deposited media put in the safe.,1
ATMDepositedMedia4,Deposited media put in the safe.,1
ATMDepositedMediaItem1,Information related to media item that are deposited.,1
ATMDevice1Code,ATM device to output message.,1
ATMDevice2Code,List of ATM devices.,1
ATMDeviceCode,ATM devices.,1
ATMDeviceControl,Information related to the control of an ATM device.,4
ATMDeviceControl,Maintenance commands to perform.,1
ATMDeviceControl1,Information related to the control of an ATM device.,1
ATMDeviceControl2,Information related to the control of an ATM device.,1
ATMDeviceControl3,Information related to the control of an ATM device.,1
ATMDeviceControlV01,The ATMDeviceControl message is sent by a maintenance host to an ATM in response to an ATMDeviceReport message. The message contains a sequence of maintenance commands the ATM must perform.,1
ATMDeviceControlV02,The ATMDeviceControl message is sent by a maintenance host to an ATM in response to an ATMDeviceReport message. The message contains a sequence of maintenance commands the ATM must perform.,1
ATMDeviceControlV03,The ATMDeviceControl message is sent by a maintenance host to an ATM in response to an ATMDeviceReport message. The message contains a sequence of maintenance commands the ATM must perform.,1
ATMDeviceControlV04,The ATMDeviceControl message is sent by a maintenance host to an ATM in response to an ATMDeviceReport message. The message contains a sequence of maintenance commands the ATM must perform.,1
ATMDeviceReport,Information related to the status report from an ATM device.,4
ATMDeviceReport1,Information related to the report from an ATM device.,1
ATMDeviceReport3,Information related to the report from an ATM device.,1
ATMDeviceReport4,Information related to the report from an ATM device.,1
ATMDeviceReportV01,"The ATMDeviceReport message is sent to an acquirer by an ATM, or forwarded by an agent, to report: - The result of maintenance commands performed by the ATM, - The components of the ATM, - The status of the ATM components.",1
ATMDeviceReportV02,"The ATMDeviceReport message is sent to an acquirer by an ATM, or forwarded by an agent, to report: - The result of maintenance commands performed by the ATM, - The components of the ATM, - The status of the ATM components.",1
ATMDeviceReportV03,"The ATMDeviceReport message is sent to an acquirer by an ATM, or forwarded by an agent, to report: - The result of maintenance commands performed by the ATM, - The components of the ATM, - The status of the ATM components.",1
ATMDeviceReportV04,"The ATMDeviceReport message is sent to an acquirer by an ATM, or forwarded by an agent, to report: - The result of maintenance commands performed by the ATM, - The components of the ATM, - The status of the ATM components.",1
ATMDiagnosticRequest,Information related to the request of a diagnostic from an ATM.,3
ATMDiagnosticRequest,Request for a diagnostic.,1
ATMDiagnosticRequest1,Information related to the request of a diagnostic from an ATM.,1
ATMDiagnosticRequest2,Information related to the request of a diagnostic from an ATM.,1
ATMDiagnosticRequest3,Information related to the request of a diagnostic from an ATM.,1
ATMDiagnosticRequestV01,The ATMDiagnosticRequest message is sent from an ATM to an acquirer to verify the availability of the acquirer. The acquirer will also validate that this ATM is a valid ATM for its particular network.,1
ATMDiagnosticRequestV02,The ATMDiagnosticRequest message is sent from an ATM to an acquirer to verify the availability of the acquirer. The acquirer will also validate that this ATM is a valid ATM for its particular network.,1
ATMDiagnosticRequestV03,The ATMDiagnosticRequest message is sent from an ATM to an acquirer to verify the availability of the acquirer. The acquirer will also validate that this ATM is a valid ATM for its particular network.,1
ATMDiagnosticResponse,Information related to the response of a diagnostic from an ATM manager.,2
ATMDiagnosticResponse,Response to a diagnostic request.,1
ATMDiagnosticResponse1,Information related to the response of a diagnostic from an ATM manager.,1
ATMDiagnosticResponse2,Information related to the response of a diagnostic from an ATM manager.,1
ATMDiagnosticResponseV01,The ATMDiagnosticResponse message is sent by an acquirer to an ATM in response to an ATMDiagnosticRequest message ensuring the availability and the validity of the parameters.,1
ATMDiagnosticResponseV02,The ATMDiagnosticResponse message is sent by an acquirer to an ATM in response to an ATMDiagnosticRequest message ensuring the availability and the validity of the parameters.,1
ATMDispute,ATM dispute,1
ATMEnvironment1,Environment of the withdrawal transaction.,1
ATMEnvironment10,Environment of the transaction.,1
ATMEnvironment11,Environment of the withdrawal transaction.,1
ATMEnvironment12,Environment of the withdrawal transaction.,1
ATMEnvironment13,Environment of the withdrawal transaction.,1
ATMEnvironment14,Environment of the inquiry.,1
ATMEnvironment15,Environment of the key download.,1
ATMEnvironment16,Environment of exceptions.,1
ATMEnvironment17,Environment of the inquiry.,1
ATMEnvironment18,Environment of the withdrawal transaction.,1
ATMEnvironment19,Environment of the withdrawal transaction.,1
ATMEnvironment2,Environment of the withdrawal transaction.,1
ATMEnvironment20,Environment of exceptions.,1
ATMEnvironment21,Environment of the withdrawal transaction.,1
ATMEnvironment22,Environment of the transaction.,1
ATMEnvironment3,Environment of the withdrawal transaction.,1
ATMEnvironment4,Environment of the inquiry.,1
ATMEnvironment5,Environment of the transaction.,1
ATMEnvironment6,Environment of the transaction.,1
ATMEnvironment7,Environment of the transaction.,1
ATMEnvironment8,Environment of the key download.,1
ATMEnvironment9,Environment of the ATM.,1
ATMEquipment1,ATM terminal equipment.,1
ATMEquipment2,"Hardware security module information, so called EPP for Encrypted PIN Pad.",1
ATMEquipment3,"Hardware security module information, so called EPP for Encrypted PIN Pad.",1
ATMExceptionAcknowledgement,Acknowledgement of an exception advice.,1
ATMExceptionAcknowledgement,Information related to the acknowledgement of an ATM exception.,2
ATMExceptionAcknowledgement1,Information related to the acknowledgement of an ATM exception.,1
ATMExceptionAcknowledgement2,Information related to the acknowledgement of an ATM exception.,1
ATMExceptionAcknowledgementV01,The ATMExceptionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMExceptionAdvice message.,1
ATMExceptionAcknowledgementV02,The ATMExceptionAcknowledgement message is sent by an acquirer or its agent to an ATM to acknowledge the receipt of an ATMExceptionAdvice message.,1
ATMExceptionAdvice,Advice of an ATM exception.,1
ATMExceptionAdvice,Information related to exceptions occurring on the ATM.,2
ATMExceptionAdvice1,Information related to exceptions occurring on the ATM.,1
ATMExceptionAdvice2,Information related to exceptions occurring on the ATM.,1
ATMExceptionAdviceV01,The ATMExceptionAdvice message is sent by an ATM to an acquirer or its agent to inform of that an exception occurred outside a service.,1
ATMExceptionAdviceV02,The ATMExceptionAdvice message is sent by an ATM to an acquirer or its agent to inform of that an exception occurred outside a service.,1
ATMExchangeRateComponent1,Information related to an exchange rate.,1
ATMFeeComponent1,Fee amount of a transaction.,1
ATMGlobalStatus,Global status of the ATM.,6
ATMInquiryRequest,Information related to the request of an inquiry from an ATM.,3
ATMInquiryRequest,Request for an inquiry.,1
ATMInquiryRequest1,Information related to the request of an inquiry from an ATM.,1
ATMInquiryRequest2,Information related to the request of an inquiry from an ATM.,1
ATMInquiryRequest3,Information related to the request of an inquiry from an ATM.,1
ATMInquiryRequestV01,"The ATMInquiryRequest message is sent by an ATM to an ATM manager to request information about a customer (for example card, account).",1
ATMInquiryRequestV02,"The ATMInquiryRequest message is sent by an ATM to an ATM manager to request information about a customer (for example card, account).",1
ATMInquiryRequestV03,"The ATMInquiryRequest message is sent by an ATM to an ATM manager to request information about a customer (for example card, account).",1
ATMInquiryResponse,Information related to the response of an ATM inquiry from an ATM manager.,3
ATMInquiryResponse,Response to an inquiry request.,1
ATMInquiryResponse1,Information related to the response of an ATM inquiry from an ATM manager.,1
ATMInquiryResponse2,Information related to the response of an ATM inquiry from an ATM manager.,1
ATMInquiryResponse3,Information related to the response of an ATM inquiry from an ATM manager.,1
ATMInquiryResponseV01,The ATMInquiryResponse message is sent by an ATM manager or its agent to the ATM to provide the information and the outcome of the verifications requested in the ATMInquiryRequest.,1
ATMInquiryResponseV02,The ATMInquiryResponse message is sent by an ATM manager or its agent to the ATM to provide the information and the outcome of the verifications requested in the ATMInquiryRequest.,1
ATMInquiryResponseV03,The ATMInquiryResponse message is sent by an ATM manager or its agent to the ATM to provide the information and the outcome of the verifications requested in the ATMInquiryRequest.,1
ATMKeyDownloadRequest,Information related to the request of a key download from an ATM.,4
ATMKeyDownloadRequest,Request for a key download.,1
ATMKeyDownloadRequest1,Information related to the request of a key download from an ATM.,1
ATMKeyDownloadRequest2,Information related to the request of a key download from an ATM.,1
ATMKeyDownloadRequest4,Information related to the request of a key download from an ATM.,1
ATMKeyDownloadRequest5,Information related to the request of a key download from an ATM.,1
ATMKeyDownloadRequestV01,The ATMKeyDownloadRequest message is sent by an ATM to an ATM manager to initiate the download of one or several cryptographic keys.,1
ATMKeyDownloadRequestV02,The ATMKeyDownloadRequest message is sent by an ATM to an ATM manager to initiate the download of one or several cryptographic keys.,1
ATMKeyDownloadRequestV03,The ATMKeyDownloadRequest message is sent by an ATM to an ATM manager to initiate the download of one or several cryptographic keys.,1
ATMKeyDownloadRequestV04,The ATMKeyDownloadRequest message is sent by an ATM to an ATM manager to initiate the download of one or several cryptographic keys.,1
ATMKeyDownloadResponse,Information related to the response of an ATM key download from an ATM manager.,4
ATMKeyDownloadResponse,Response to a key download.,1
ATMKeyDownloadResponse1,Information related to the response of an ATM key download from an ATM manager.,1
ATMKeyDownloadResponse2,Information related to the response of an ATM key download from an ATM manager.,1
ATMKeyDownloadResponse4,Information related to the response of an ATM key download from an ATM manager.,1
ATMKeyDownloadResponse5,Information related to the response of an ATM key download from an ATM manager.,1
ATMKeyDownloadResponseV01,"The ATMKeyDownloadResponse message is sent from an acquirer to an ATM in response to an ATMKeyDownloadRequest message, to download of one or several cryptographic keys.",1
ATMKeyDownloadResponseV02,"The ATMKeyDownloadResponse message is sent from an acquirer to an ATM in response to an ATMKeyDownloadRequest message, to download of one or several cryptographic keys.",1
ATMKeyDownloadResponseV03,"The ATMKeyDownloadResponse message is sent from an acquirer to an ATM in response to an ATMKeyDownloadRequest message, to download of one or several cryptographic keys.",1
ATMKeyDownloadResponseV04,"The ATMKeyDownloadResponse message is sent from an acquirer to an ATM in response to an ATMKeyDownloadRequest message, to download of one or several cryptographic keys.",1
ATMMalfunctionCorrection,ATM malfunction correction,1
ATMManager,Entity managing the ATM.,1
ATMManager,Institution in charge of managing the ATM.,4
ATMManagerIdentification,Identification of the ATM manager.,17
ATMMediaMix1,Media mix selected.,1
ATMMediaMix2,Media mix selected.,1
ATMMediaStatus1Code,Type of result after a media processing.,1
ATMMediaStatusCode,Type of result after a media processing.,1
ATMMediaType1Code,Type of media inside an ATM cassette.,1
ATMMediaType2Code,Type of media inside an ATM cassette.,1
ATMMediaType3Code,Category of media items.,1
ATMMediaType4Code,Type of media inside an ATM cassette.,1
ATMMediaTypeCode,Type or category of media inside an ATM cassette.,1
ATMMessageFunction1,Identifies the type of process related to an ATM message.,1
ATMMessageFunction2,Identifies the type of process related to an ATM message.,1
ATMNoteType1Code,Type of items the cash-in cassette.,1
ATMNoteType2Code,Type of notes.,1
ATMNoteTypeCode,Type of items the cash-in cassette.,1
ATMOperation,Logical or physical operation on the ATM.,1
ATMOperation1Code,Type of logical or physical operation on an ATM.,1
ATMOperation2Code,Type of logical or physical operation on an ATM.,1
ATMOperationCode,Type of logical or physical operation on an ATM.,1
ATMPINManagementRequest,Information related to the request of a PIN management from an ATM.,3
ATMPINManagementRequest,Request for a cardholder PIN management.,1
ATMPINManagementRequest1,Information related to the request of a PIN management from an ATM.,1
ATMPINManagementRequest2,Information related to the request of a PIN management from an ATM.,1
ATMPINManagementRequest3,Information related to the request of a PIN management from an ATM.,1
ATMPINManagementRequestV01,The ATMPINManagementRequest message is sent by an ATM to an ATM manager to request an operation on the cardholder PIN.,1
